city,state,latitude,longitude,population,source_name
BARRY,IL,39.69421,-91.03902,1274,Barry
BARTLESVILLE,OK,36.74731,-95.98082,36595,Bartlesville
BARTOW,FL,27.89641,-81.84314,18972,Bartow
BASSETT,VA,36.7593,-79.99032,1100,Bassett
BASTIAN,VA,37.15206,-81.15009,0,Bastian
BASTROP,TX,30.11049,-97.31527,8231,Bastrop
BATAVIA,IA,40.99418,-92.1674,516,Batavia
BATAVIA,IL,41.85003,-88.31257,26495,Batavia
BATES CITY,MO,39.00612,-94.07245,220,Bates City
BATESBURG,SC,33.91014,-81.53733,5441,Batesburg-Leesville
BATESVILLE,AR,35.7698,-91.64097,10668,Batesville
BATESVILLE,MS,34.3115,-89.94426,7385,Batesville
BATH,NY,42.33702,-77.31776,5635,Bath
BATON ROUGE,LA,30.44332,-91.18747,227470,Baton Rouge
BATTLE CREEK,MI,42.3173,-85.17816,51589,Battle Creek
BATTLE MOUNTAIN,NV,40.64213,-116.93427,3635,Battle Mountain
BAXLEY,GA,31.77825,-82.34846,4440,Baxley
BAXTER,TN,36.15367,-85.64359,1384,Baxter
BAY CITY,MI,43.59447,-83.88886,33917,Bay City
BEACH,ND,46.91807,-104.00437,1115,Beach
BEALETON,VA,38.57179,-77.76388,4435,Bealeton
BEAR CREEK,WI,44.53137,-88.72649,436,Bear Creek
BEATRICE,NE,40.26806,-96.74697,12388,Beatrice
BEAUMONT,MS,31.16935,-88.92004,942,Beaumont
BEAUMONT,TX,30.08605,-94.10185,115282,Beaumont
BEAVER,UT,38.27691,-112.64105,3007,Beaver
BEAVER DAM,KY,37.40199,-86.87583,3618,Beaver Dam
BEAVER DAM,WI,43.45777,-88.83733,16564,Beaver Dam
BEAVERDAM,OH,40.83339,-83.97661,369,Beaverdam
BECKLEY,WV,37.77817,-81.18816,17056,Beckley
BEDFORD,OH,41.39311,-81.53651,12747,Bedford
BEDFORD,PA,40.01869,-78.50391,2742,Bedford
BEDFORD PARK,IL,41.76281,-87.80006,577,Bedford Park
BEEBE,AR,35.07064,-91.87959,8106,Beebe
BEECH ISLAND,SC,33.42736,-81.89095,0,Beech Island
BEEVILLE,TX,28.40095,-97.74974,13277,Beeville
BELDEN,MS,34.31038,-88.78839,0,Belden
BELEN,NM,34.66284,-106.77642,7152,Belen
BELFIELD,ND,46.88529,-103.19962,1055,Belfield
BELGIUM,WI,43.49972,-87.85037,2261,Belgium
BELGRADE,MT,45.77604,-111.1769,8029,Belgrade
BELHAVEN,NC,35.54017,-76.62299,1602,Belhaven
BELLE CHASSE,LA,29.85493,-89.99063,12679,Belle Chasse
BELLE FOURCHE,SD,44.67137,-103.85215,5696,Belle Fourche
BELLE PLAINE,KS,37.39391,-97.28115,1621,Belle Plaine
BELLE PLAINE,MN,44.62274,-93.76857,6918,Belle Plaine
BELLE ROSE,LA,30.05048,-91.04149,1902,Belle Rose
BELLEFONTAINE,OH,40.36116,-83.75966,13117,Bellefontaine
BELLEFONTE,PA,40.91339,-77.77833,6248,Bellefonte
BELLEMONT,AZ,35.23807,-111.8335,0,Bellemont
BELLEVILLE,KS,39.82445,-97.63254,1907,Belleville
BELLEVILLE,MI,42.20476,-83.48521,3880,Belleville
BELLEVILLE,WI,43.07611,-88.77427,2913,Johnson Creek
BELLINGHAM,WA,48.75955,-122.48822,85146,Bellingham
BELLOWS FALLS,VT,43.13341,-72.44398,3048,Bellows Falls
BELLVILLE,OH,40.62006,-82.51072,1871,Bellville
BELLWOOD,IL,41.88142,-87.88312,19308,Bellwood
BELMONT,NY,42.22312,-78.03445,939,Belmont
